date;day_text;note
2021-01-06;\LastQuarter;
2021-01-13;\NewMoon;
2021-01-20;\FirstQuarter;
2021-01-28;\FullMoon;
2021-02-04;\LastQuarter;
2021-02-11;\NewMoon;
2021-02-19;\FirstQuarter;
2021-02-27;\FullMoon;
2021-03-06;\LastQuarter;
2021-03-13;\NewMoon;
2021-03-21;\FirstQuarter;
2021-03-28;\FullMoon;
2021-04-04;\LastQuarter;
2021-04-12;\NewMoon;
2021-04-20;\FirstQuarter;
2021-04-27;\FullMoon;
2021-05-03;\LastQuarter;
2021-05-11;\NewMoon;
2021-05-19;\FirstQuarter;
2021-05-26;\FullMoon;
2021-06-02;\LastQuarter;
2021-06-10;\NewMoon;
2021-06-18;\FirstQuarter;
2021-06-24;\FullMoon;
2021-07-01;\LastQuarter;
2021-07-10;\NewMoon;
2021-07-17;\FirstQuarter;
2021-07-24;\FullMoon;
2021-07-31;\LastQuarter;
2021-08-08;\NewMoon;
2021-08-15;\FirstQuarter;
2021-08-22;\FullMoon;
2021-08-30;\LastQuarter;
2021-09-07;\NewMoon;
2021-09-13;\FirstQuarter;
2021-09-21;\FullMoon;
2021-09-29;\LastQuarter;
2021-10-06;\NewMoon;
2021-10-13;\FirstQuarter;
2021-10-20;\FullMoon;
2021-10-28;\LastQuarter;
2021-11-04;\NewMoon;
2021-11-11;\FirstQuarter;
2021-11-19;\FullMoon;
2021-11-27;\LastQuarter;
2021-12-04;\NewMoon;
2021-12-11;\FirstQuarter;
2021-12-19;\FullMoon;
2021-12-27;\LastQuarter;
