date;day_text;note
2019-01-06;\NewMoon;
2019-01-14;\FirstQuarter;
2019-01-21;\FullMoon;
2019-01-27;\LastQuarter;
2019-02-04;\NewMoon;
2019-02-12;\FirstQuarter;
2019-02-19;\FullMoon;
2019-02-26;\LastQuarter;
2019-03-06;\NewMoon;
2019-03-14;\FirstQuarter;
2019-03-21;\FullMoon;
2019-03-28;\LastQuarter;
2019-04-05;\NewMoon;
2019-04-12;\FirstQuarter;
2019-04-19;\FullMoon;
2019-04-26;\LastQuarter;
2019-05-04;\NewMoon;
2019-05-12;\FirstQuarter;
2019-05-18;\FullMoon;
2019-05-26;\LastQuarter;
2019-06-03;\NewMoon;
2019-06-10;\FirstQuarter;
2019-06-17;\FullMoon;
2019-06-25;\LastQuarter;
2019-07-02;\NewMoon;
2019-07-09;\FirstQuarter;
2019-07-16;\FullMoon;
2019-07-25;\LastQuarter;
2019-08-01;\NewMoon;
2019-08-07;\FirstQuarter;
2019-08-15;\FullMoon;
2019-08-23;\LastQuarter;
2019-08-30;\NewMoon;
2019-09-06;\FirstQuarter;
2019-09-14;\FullMoon;
2019-09-22;\LastQuarter;
2019-09-28;\NewMoon;
2019-10-05;\FirstQuarter;
2019-10-13;\FullMoon;
2019-10-21;\LastQuarter;
2019-10-28;\NewMoon;
2019-11-04;\FirstQuarter;
2019-11-12;\FullMoon;
2019-11-19;\LastQuarter;
2019-11-26;\NewMoon;
2019-12-04;\FirstQuarter;
2019-12-12;\FullMoon;
2019-12-19;\LastQuarter;
2019-12-26;\NewMoon;
